registros,Crit_Julg,Cmp_Gru,I_Cmp,I_Und,DS_ITCP_MODELO_VERSAO,Pref_Nac,Vant ??,Sustent,Pref_Adic,Vant Adic ??,Tipo_Obj,CritVal,Vl_Sigilo,Tp_Reduc,,
408,Não Informado,Não se Aplica,ARROZ,KG,NAO SE APLICA,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
369,Menor Valor,Não tem Grupo,ARROZ,"PACOTE 5,00 KG",NULL,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
368,Não Informado,Não se Aplica,ARROZ,FD,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
302,Não Informado,Não se Aplica,ARROZ,"SACO 60,00 KG",NAO SE APLICA,Não se Aplica,0,NÃO INFORMADO,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
275,Não Informado,Não se Aplica,ARROZ,QUILOGRAMA,NAO SE APLICA,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
266,Não Informado,Não se Aplica,ARROZ,FARDO,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
236,Menor Valor,Não tem Grupo,ARROZ,"PACOTE 1,00 KG",NULL,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
229,Não Informado,Não se Aplica,ARROZ BENEFICIADO,QUILOGRAMA,NAO SE APLICA,Não se Aplica,0,NÃO INFORMADO,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
209,Menor Valor,Não tem Grupo,ARROZ,QUILOGRAMA,NULL,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
194,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDO,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
189,Menor Valor,Não tem Grupo,ARROZ,QUILOGRAMA,NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
176,Não Informado,Não se Aplica,ARROZ,"SACO 50,00 KG",NAO SE APLICA,Não se Aplica,0,NÃO INFORMADO,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
174,Menor Valor,Não tem Grupo,ARROZ,KG,NULL,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
166,Menor Valor,Não tem Grupo,ARROZ,"SACO 5,00 KG",NULL,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
165,Não Informado,Não se Aplica,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG",NAO SE APLICA,Não se Aplica,0,NÃO INFORMADO,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
165,Menor Valor,Não tem Grupo,ARROZ,"FARDO 30,00 KG",NULL,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
164,Não Informado,Não se Aplica,ARROZ,"SACO 5,00 KG",NAO SE APLICA,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
153,Não Informado,Não se Aplica,ARROZ IN - NATURA,FD,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
151,Menor Valor,Não tem Grupo,ARROZ,QUILOGRAMA,NAO SE APLICA,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
149,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,KG,NULL,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
145,Menor Valor,Não tem Grupo,ARROZ,"SACO 1,00 KG",NULL,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
142,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG",NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Máximo Aceitável,Não,Monetário,,
138,Não Informado,Não se Aplica,ARROZ,QUILOGRAMA,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
130,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCT,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
129,Não Informado,Não se Aplica,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG",NAO SE APLICA,Não se Aplica,0,NÃO INFORMADO,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
128,Não Informado,Não se Aplica,ARROZ,PCT,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
122,Não Informado,Não se Aplica,ARROZ,FRD,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
118,Não Informado,Não tem Grupo,ARROZ,QUILOGRAMA,NAO SE APLICA,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
109,Não Informado,Não se Aplica,ARROZ,"PACOTE 1,00 KG",NAO SE APLICA,Não se Aplica,0,NÃO INFORMADO,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
104,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,QUILOGRAMA,NULL,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
104,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCT,NAO SE APLICA,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
98,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,QUILOGRAMA,NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Máximo Aceitável,Não,Monetário,,
97,Menor Valor,Não tem Grupo,ARROZ,"PACOTE 5,00 KG",NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
94,Não Informado,Não se Aplica,ARROZ IN - NATURA,KILOS,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
93,Menor Valor,Grupo 1,ARROZ,QUILOGRAMA,NULL,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
93,Não Informado,Não se Aplica,ARROZ IN - NATURA,QUILOGRAMA,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
84,Menor Valor,Não tem Grupo,ARROZ,UNIDADE,NULL,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
83,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG",NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Máximo Aceitável,Não,Monetário,,
75,Não Informado,Não se Aplica,CREME ARROZ,"CAIXA 200,00 G",NAO SE APLICA,Não se Aplica,0,NÃO INFORMADO,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
75,Menor Valor,Não tem Grupo,ARROZ,QUILOGRAMA,NAO INFORMADO,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
70,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,QUILOGRAMA,NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Estimado,Sim,Monetário,,
70,Menor Valor,Não tem Grupo,CASCA ARROZ,QUILOGRAMA,NULL,Não,0,NÃO SUSTENTAVEL,Não,0,Bens Comuns,Valor Estimado,Não,Monetário,,
69,Não Informado,Não se Aplica,ARROZ,PACOTE,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
68,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG",NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Estimado,Não,Monetário,,
68,Não Informado,Não se Aplica,ARROZ,SC,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
66,Menor Valor,Não tem Grupo,CREME ARROZ,"CAIXA 200,00 G",NULL,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
63,Menor Valor,Não tem Grupo,ARROZ,QUILOGRAMA,KG,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
63,Menor Valor,Não tem Grupo,FARINHA ARROZ,"LATA 400,00 G",NULL,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
62,Não Informado,Não se Aplica,ARROZ IN - NATURA,SC,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
60,Não Informado,Não se Aplica,ARROZ,UN,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
60,Menor Valor,Não se Aplica,ARROZ,QUILOGRAMA,NAO SE APLICA,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
58,Não Informado,Não se Aplica,ARROZ,"SACO 1,00 KG",NAO SE APLICA,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
58,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG",NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Estimado,Não,Não se Aplica,,
58,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,QUILOGRAMA,NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Estimado,Não,Monetário,,
57,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
54,Menor Valor,Não tem Grupo,ARROZ,"PACOTE 1,00 KG",NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
54,Não Informado,Não se Aplica,FARINHA ARROZ,UNIDADE,NAO SE APLICA,Não se Aplica,0,NÃO INFORMADO,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
53,Menor Valor,Não tem Grupo,ARROZ,PACOTE,NULL,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
53,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,QUILOGRAMA,NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Máximo Aceitável,Não,Não se Aplica,,
52,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,QUILOGRAMA,NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Estimado,Não,Não se Aplica,,
48,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG",NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Estimado,Não,Monetário,,
46,Menor Valor,Não tem Grupo,CASCA ARROZ,UNIDADE,NAO INFORMADO,Não,0,NÃO SUSTENTAVEL,Não,0,Bens Comuns,Valor Máximo Aceitável,Não,Monetário,,
45,Não Informado,Não se Aplica,FARINHA ARROZ,"LATA 400,00 G",NAO SE APLICA,Não se Aplica,0,NÃO INFORMADO,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
42,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG",NULL,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Máximo Aceitável,Não,Monetário,,
40,Não Informado,Não se Aplica,ARROZ IN - NATURA,KG.,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
40,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG",NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Estimado,Sim,Monetário,,
39,Menor Valor,Grupo 2,ARROZ,QUILOGRAMA,NULL,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
38,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,QUILOGRAMA,NAO INFORMADO,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
38,Menor Valor,Grupo 1,ARROZ,"PACOTE 5,00 KG",NULL,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
37,Menor Valor,Não se Aplica,ARROZ,"SACO 5,00 KG",NAO SE APLICA,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
37,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG",NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Máximo Aceitável,Não,Não se Aplica,,
37,Menor Valor,Não tem Grupo,FARINHA ARROZ,UNIDADE,NULL,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
36,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,QUILOGRAMA,KG,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Máximo Aceitável,Não,Monetário,,
36,Menor Valor,Não tem Grupo,ARROZ,KG,NAO INFORMADO,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
36,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,QUILOGRAMA,KG,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Estimado,Não,Monetário,,
35,Não Informado,Não se Aplica,ARROZ,FARDO,NAO SE APLICA,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
35,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE,NAO SE APLICA,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
35,Não Informado,Não se Aplica,ARROZ,UND,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
35,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,KG,NAO SE APLICA,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
35,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG",NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Máximo Aceitável,Não,Percentual,,
35,Menor Valor,Não se Aplica,ARROZ,"FARDO 30,00 KG",NAO SE APLICA,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
34,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,QUILOGRAMA,NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Estimado,Sim,Percentual,,
34,Não Informado,Não se Aplica,ARROZ IN - NATURA,FD,NAO SE APLICA,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
34,Não Informado,Não se Aplica,CASCA ARROZ,KG,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
33,Não Informado,Não se Aplica,ARROZ IN - NATURA,QUILO,NAO SE APLICA,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
33,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG",NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Estimado,Não,Não se Aplica,,
33,Menor Valor,Não tem Grupo,FARINHA ARROZ,"EMBALAGEM 500,00 G",NULL,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
33,Não Informado,Não se Aplica,ARROZ,KILO,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
32,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,QUILOGRAMA,NULL,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Estimado,Não,Monetário,,
32,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG",NULL,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Estimado,Não,Monetário,,
32,Não Informado,Não se Aplica,ARROZ,PACOTE,NAO SE APLICA,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
31,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG",KG,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Estimado,Não,Monetário,,
30,Menor Valor,Não tem Grupo,ARROZ,"SACO 5,00 KG",NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
30,Menor Valor,Grupo 1,ARROZ,"FARDO 30,00 KG",NULL,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
30,Menor Valor,Não tem Grupo,ARROZ,UN,NULL,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
30,Menor Valor,Grupo 1,ARROZ,"PACOTE 1,00 KG",NULL,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
30,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG",NULL,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Estimado,Não,Monetário,,
30,Não Informado,Não se Aplica,ARROZ,QUILO,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
30,Não Informado,Não se Aplica,ARROZ IN - NATURA,KILO,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
29,Não Informado,Não se Aplica,ARROZ,PCTE,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
29,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTE,NULL,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
29,Não Informado,Não se Aplica,ARROZ,"FARDO 30,00 KG",NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
28,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,UNIDADE,NULL,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
28,Menor Valor,Não tem Grupo,FARINHA ARROZ,"EMBALAGEM 500,00 G",NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
28,Não Informado,Não se Aplica,ARROZ,UNIDADE,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
28,Menor Valor,Grupo 1,ARROZ,KG,NULL,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
28,Menor Valor,Não tem Grupo,ARROZ,FARDO,NULL,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
26,Não Informado,Não se Aplica,ARROZ,KILOGRAMA,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
26,Menor Valor,Não tem Grupo,ARROZ,QUILOGRAMA,QUILOGRAMA,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
26,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,QUILOGRAMA,NULL,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Estimado,Sim,Monetário,,
25,Não Informado,Não se Aplica,ARROZ IN - NATURA,FRD,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
25,Menor Valor,Não tem Grupo,FARINHA ARROZ,QUILOGRAMA,NULL,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
25,Não Informado,Não se Aplica,ARROZ,FDO,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
25,Não Informado,Não se Aplica,ARROZ,FD.,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
25,Menor Valor,NULL,ARROZ BENEFICIADO,QUILOGRAMA,NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
25,Menor Valor,Não tem Grupo,ARROZ,"PACOTE 5,00 KG",NAO SE APLICA,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
24,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG",NAO INFORMADO,Não,0,NÃO INFORMADO,Não,0,Bens Comuns,Valor Estimado,Sim,Monetário,,
24,Não Informado,Não se Aplica,ARROZ,PACOTES,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
24,Menor Valor,Não tem Grupo,ARROZ,QUILOGRAMA,ARROZ,Não,0,NÃO INFORMADO,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
24,Menor Valor,Não tem Grupo,ARROZ,PACOTE 5 KG,NULL,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
24,Não Informado,Não se Aplica,ARROZ,FARDOS,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
24,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,KG,NAO INFORMADO,Não,0,NÃO SUSTENTAVEL,Não,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
24,Não Informado,Não se Aplica,ARROZ,PC,NAO SE APLICA,Não se Aplica,0,NÃO SUSTENTAVEL,Não se Aplica,0,Não se Aplica,Não se Aplica,Não se Aplica,Não se Aplica,,
