registros,Crit_Julg,Cmp_Gru,I_Cmp,I_Und
66,Não Informado,Não se Aplica,ARROZ IN - NATURA,SC
64,Não Informado,Não se Aplica,FARINHA ARROZ,"LATA 400,00 G"
63,Menor Valor,Não se Aplica,ARROZ,QUILOGRAMA
62,Não Informado,Não se Aplica,ARROZ IN - NATURA,KG.
62,Não Informado,Não se Aplica,FARINHA ARROZ,UNIDADE
61,Não Informado,Não se Aplica,ARROZ,UN
60,Menor Valor,Grupo 2,ARROZ BENEFICIADO,QUILOGRAMA
59,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,UNIDADE
57,Menor Valor,Não tem Grupo,FARINHA ARROZ,"EMBALAGEM 1,00 KG"
55,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,"EMBALAGEM 2,00 KG"
54,Menor Valor,Grupo 2,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG"
53,Não Informado,Não se Aplica,ARROZ IN - NATURA,QUILO
53,Menor Valor,Grupo 3,ARROZ,QUILOGRAMA
52,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTE
51,Menor Valor,Grupo 1,ARROZ,KG
49,Menor Valor,Grupo 1,ARROZ,"PACOTE 1,00 KG"
48,Não Informado,Não se Aplica,ARROZ,QUILO
41,Menor Valor,Grupo 1,ARROZ,"FARDO 30,00 KG"
41,Não Informado,Não se Aplica,ARROZ,FARDOS
39,Não Informado,Não se Aplica,ARROZ,KILO
38,Menor Valor,Grupo 3,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
38,Menor Valor,Não tem Grupo,CREME ARROZ,"EMBALAGEM 400,00 G"
38,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,GRAMA
37,Menor Valor,Grupo 4,ARROZ,QUILOGRAMA
37,Menor Valor,NULL,ARROZ,QUILOGRAMA
37,Menor Valor,Não se Aplica,ARROZ,"SACO 5,00 KG"
37,Não Informado,Não se Aplica,ARROZ,PC
36,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,"EMBALAGEM 50,00 KG"
36,Não Informado,Não se Aplica,ARROZ IN - NATURA,KILO
36,Menor Valor,Não tem Grupo,ARROZ,FARDO
35,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDOS
35,Não Informado,Não se Aplica,ARROZ,UND
35,Não Informado,Não se Aplica,CASCA ARROZ,KG
35,Menor Valor,Não se Aplica,ARROZ,"FARDO 30,00 KG"
34,Menor Valor,Grupo 4,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
32,Menor Valor,Não tem Grupo,CASCA ARROZ,EMBALAGEM
31,Menor Valor,Não tem Grupo,ARROZ,UN
31,Não Informado,Não se Aplica,ARROZ,PCTE
30,Menor Valor,Grupo 1,ARROZ IN - NATURA,QUILOGRAMA
28,Menor Valor,Grupo 5,ARROZ,QUILOGRAMA
28,Não Informado,Não se Aplica,ARROZ,KILOGRAMA
28,Menor Valor,Não tem Grupo,ARROZ,PACOTE 5 KG
28,Não Informado,Não se Aplica,ARROZ,KG.
27,Menor Valor,Não tem Grupo,ARROZ,PCT
27,Não Informado,Não se Aplica,ARROZ,SACO
27,Menor Valor,Grupo 7,ARROZ,QUILOGRAMA
27,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,EMBALAGEM 5 KG
27,Menor Valor,Grupo 1,ARROZ IN - NATURA,KG
27,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,UN
26,Menor Valor,Não tem Grupo,ARROZ,EMBALAGEM
26,Não Informado,Não se Aplica,ARROZ,FD.
25,Não Informado,Não se Aplica,ARROZ,FDO
25,Não Informado,Não se Aplica,ARROZ,KILOS
25,Não Informado,Não se Aplica,ARROZ IN - NATURA,UN
25,Não Informado,Não se Aplica,ARROZ IN - NATURA,UNIDADE
25,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,EMBALAGEM 1 KG
25,Não Informado,Não se Aplica,ARROZ IN - NATURA,FRD
24,Menor Valor,Não tem Grupo,ARROZ,PACOTE 5KG
24,Não Informado,Não se Aplica,ARROZ,PACOTES
24,Menor Valor,Grupo 3,ARROZ BENEFICIADO,QUILOGRAMA
24,Não Informado,Não se Aplica,ARROZ,KGS
23,Menor Valor,Grupo 1,FARINHA ARROZ,"EMBALAGEM 500,00 G"
23,Menor Valor,NULL,FARINHA ARROZ,"EMBALAGEM 500,00 G"
23,Menor Valor,Grupo 2,ARROZ,KG
22,Não Informado,Não se Aplica,FARINHA ARROZ,QUILOGRAMA
22,Não Informado,Não tem Grupo,ARROZ,"SACO 5,00 KG"
22,Não Informado,Não se Aplica,ARROZ IN - NATURA,SACO
21,Menor Valor,Grupo 11,ARROZ,QUILOGRAMA
21,Não Informado,Não tem Grupo,ARROZ IN - NATURA,KG
21,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PCT
21,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE 5KG
20,Menor Valor,Não tem Grupo,LEITE DE ARROZ,"CAIXA 1,00 L"
20,Menor Valor,Não tem Grupo,LEITE DE ARROZ,UNIDADE
20,Menor Valor,NULL,FARINHA ARROZ,UNIDADE
20,Menor Valor,Grupo 6,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
19,Menor Valor,Grupo 4,ARROZ,KG
19,Não Informado,Não se Aplica,ARROZ IN - NATURA,KILOGRAMA
19,Menor Valor,Grupo 4,ARROZ BENEFICIADO,QUILOGRAMA
19,Menor Valor,Grupo 3,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG"
19,Menor Valor,Grupo 12,ARROZ,QUILOGRAMA
19,Não Informado,Não se Aplica,FARINHA ARROZ,"EMBALAGEM 500,00 G"
18,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,EMB
18,Menor Valor,Não se Aplica,ARROZ IN - NATURA,PCT
18,Menor Valor,Não se Aplica,ARROZ,"SACO 1,00 KG"
18,Menor Valor,Grupo 1,FARINHA ARROZ,QUILOGRAMA
17,Menor Valor,Grupo 1,ARROZ,"SACO 5,00 KG"
17,Não Informado,Não se Aplica,ARROZ,FARDO 30X01
17,Menor Valor,Grupo 2,ARROZ,"PACOTE 1,00 KG"
17,Menor Valor,Grupo 4,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG"
17,Maior Desconto,Não tem Grupo,ARROZ,QUILOGRAMA
17,Menor Valor,Grupo 9,ARROZ,QUILOGRAMA
16,Menor Valor,Grupo 8,ARROZ BENEFICIADO,QUILOGRAMA
16,Menor Valor,Não se Aplica,ARROZ IN - NATURA,KG
16,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,FARDO
16,Menor Valor,Grupo 1,ARROZ,"SACO 1,00 KG"
16,Menor Valor,Grupo 1,ARROZ,FARDO
15,Menor Valor,Grupo 1,FARINHA ARROZ,"LATA 400,00 G"
15,Menor Valor,Grupo 3,ARROZ,"PACOTE 1,00 KG"
15,Menor Valor,Grupo 4,ARROZ,"PACOTE 5,00 KG"
15,Menor Valor,Grupo 8,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
14,Menor Valor,Não tem Grupo,ARROZ,QUILO
14,Menor Valor,Não tem Grupo,CASCA ARROZ,TONELADA
14,Menor Valor,Não tem Grupo,ARROZ,PACOTE 1KG
14,Menor Valor,Grupo 8,ARROZ,QUILOGRAMA
14,Menor Valor,Grupo 7,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
14,Menor Valor,Grupo 10,ARROZ,QUILOGRAMA
14,Menor Valor,Grupo 5,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
13,Menor Valor,Grupo 2,ARROZ IN - NATURA,QUILOGRAMA
13,Menor Valor,Grupo 2,ARROZ IN - NATURA,KG
13,Não Informado,Não se Aplica,ARROZ,FARDO 30 KG.
13,Não Informado,Não se Aplica,ARROZ,PÇ
12,Não Informado,Não se Aplica,CASCA ARROZ,PCT
12,Menor Valor,Grupo 2,ARROZ,"PACOTE 5,00 KG"
12,Menor Valor,Grupo 6,ARROZ BENEFICIADO,QUILOGRAMA
12,Menor Valor,Não se Aplica,ARROZ,"PACOTE 5,00 KG"
12,Menor Valor,Grupo 9,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
12,Menor Valor,Grupo 3,ARROZ IN - NATURA,QUILOGRAMA
12,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,KILO
12,Não Informado,Não se Aplica,ARROZ,KILOGRAMAS
12,Não Informado,Não se Aplica,ARROZ BENEFICIADO,EMB
12,Menor Valor,Grupo 7,ARROZ BENEFICIADO,QUILOGRAMA
12,Menor Valor,Grupo 4,ARROZ,UND
12,Menor Valor,NULL,ARROZ,"PACOTE 5,00 KG"
12,Menor Valor,Grupo 4,ARROZ,"PACOTE 1,00 KG"
12,Menor Valor,Grupo 1,CASCA ARROZ,UNIDADE
12,Menor Valor,Não tem Grupo,ARROZ,"PACOTE 00000005,00 K"
11,Menor Valor,Grupo 6,ARROZ,QUILOGRAMA
11,Não Informado,Não se Aplica,ARROZ,PCTS
11,Menor Valor,Não tem Grupo,CASCA ARROZ,KG
11,Menor Valor,Grupo 5,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG"
11,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTE 5 KG
11,Menor Valor,Grupo 3,ARROZ,UNIDADE
11,Menor Valor,Grupo 14,ARROZ,QUILOGRAMA
11,Menor Valor,Grupo 1,ARROZ,UNIDADE
11,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,KG
11,Não Informado,Não se Aplica,ARROZ,QUILOS
11,Não Informado,Não se Aplica,ARROZ,LATA
11,Não Informado,Não se Aplica,ARROZ IN - NATURA,"FARDO 30,00 KG"
11,Não Informado,Não se Aplica,ARROZ IN - NATURA,SACAS
11,Não Informado,Não se Aplica,CASCA ARROZ,TON
11,Não Informado,Não se Aplica,CASCA ARROZ,UNIDADE
10,Não Informado,Não se Aplica,ARROZ,KGS.
10,Menor Valor,Não tem Grupo,CREME ARROZ,"EMBALAGEM 1,00 KG"
10,Não Informado,Não se Aplica,ARROZ IN - NATURA,UND
10,Menor Valor,Grupo 6,FARINHA ARROZ,"EMBALAGEM 500,00 G"
10,Não Informado,Não se Aplica,ARROZ IN - NATURA,KGS
10,Menor Valor,Grupo 7,ARROZ,UNIDADE
10,Menor Valor,Grupo 1,ARROZ,PACOTE
10,Menor Valor,NULL,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG"
10,Não Informado,Não se Aplica,ARROZ IN - NATURA,QUILOS
10,Não Informado,Não se Aplica,ARROZ,PACOTE 5 KG
10,Não Informado,Não se Aplica,CASCA ARROZ,SACO
10,Menor Valor,Grupo 2,FARINHA ARROZ,"EMBALAGEM 500,00 G"
10,Menor Valor,Grupo 5,ARROZ BENEFICIADO,QUILOGRAMA
10,Não Informado,Não se Aplica,ARROZ BENEFICIADO,EMBALAGEM 1 KG
9,Menor Valor,Não tem Grupo,ARROZ,PACOTE 1 KG
9,Menor Valor,Grupo 2,ARROZ,"FARDO 30,00 KG"
9,Menor Valor,NULL,ARROZ,"PACOTE 1,00 KG"
9,Menor Valor,Não tem Grupo,ARROZ,"FARDO 00000030,00 KG"
9,Não Informado,Não se Aplica,ARROZ BENEFICIADO,"EMBALAGEM 50,00 KG"
9,Não Informado,Não se Aplica,ARROZ IN - NATURA,FD.
9,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,"PACOTE 1,00 KG"
9,Menor Valor,Grupo 5,ARROZ,"PACOTE 5,00 KG"
9,Menor Valor,Grupo 4,FARINHA ARROZ,"EMBALAGEM 500,00 G"
9,Menor Valor,Grupo 3,ARROZ,KG
9,Menor Valor,Grupo 1,ARROZ BENEFICIADO,"EMBALAGEM 2,00 KG"
9,Menor Valor,Não tem Grupo,ARROZ,SACO
9,Menor Valor,Não tem Grupo,ARROZ,KILO
9,Menor Valor,Grupo 4,ARROZ IN - NATURA,QUILOGRAMA
8,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,UND
8,Menor Valor,Grupo 17,ARROZ,QUILOGRAMA
8,Menor Valor,Não tem Grupo,LEITE DE ARROZ,"GARRAFA 1,00 L"
8,Menor Valor,Grupo 18,ARROZ,QUILOGRAMA
8,Não Informado,Não se Aplica,ARROZ IN - NATURA,FDO
8,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,EMBALAGEM
8,Menor Valor,Grupo 16,ARROZ BENEFICIADO,QUILOGRAMA
8,Menor Valor,Grupo 19,ARROZ BENEFICIADO,QUILOGRAMA
8,Menor Valor,Grupo 1,ARROZ,KILOGRAMA
8,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,1
8,Menor Valor,Grupo 4,FARINHA ARROZ,UNIDADE
8,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCTS
8,Menor Valor,Grupo 8,ARROZ,EMBALAGEM
8,Menor Valor,Grupo 18,ARROZ BENEFICIADO,QUILOGRAMA
8,Não Informado,Não se Aplica,ARROZ,SACA
7,Não Informado,Não tem Grupo,ARROZ,"SACO 1,00 KG"
7,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE 5 KG
7,Não Informado,Não se Aplica,ARROZ,FARDO C/30KG
7,Menor Valor,NULL,ARROZ,KG
7,Menor Valor,Grupo 15,ARROZ,QUILOGRAMA
7,Menor Valor,NULL,ARROZ IN - NATURA,EMBALAGEM
7,Menor Valor,Não tem Grupo,ARROZ,"PACOTE 00000001,00 K"
7,Não Informado,Não se Aplica,ARROZ IN - NATURA,SACOS
7,Não Informado,Não tem Grupo,ARROZ IN - NATURA,QUILOGRAMA
7,Não Informado,Não se Aplica,CASCA ARROZ,QUILOGRAMA
7,Não Informado,Não se Aplica,ARROZ,PACOTE 5KG
7,Não Informado,Não tem Grupo,ARROZ,KG
7,Menor Valor,Não tem Grupo,ARROZ,PACOTE COM 5 KG
7,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,KILOGRAMA
7,Menor Valor,Grupo 10,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
7,Menor Valor,Grupo 9,ARROZ,EMBALAGEM
7,Menor Valor,Grupo 7,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG"
7,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTE 1 KG
7,Não Informado,Não se Aplica,ARROZ IN - NATURA,CAIXA
7,Não Informado,Não se Aplica,ARROZ IN - NATURA,CX
7,Menor Valor,Não tem Grupo,ARROZ,PCT 5KG
7,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,QUILO
7,Não Informado,Não se Aplica,ARROZ IN - NATURA,KGS.
7,Não Informado,Não se Aplica,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,D/H
7,Menor Valor,Grupo 1,ARROZ,UND.
7,Menor Valor,Não tem Grupo,ARROZ,KGS
7,Menor Valor,Grupo 1,ARROZ BENEFICIADO,"EMBALAGEM 50,00 KG"
7,Menor Valor,Grupo 1,CREME ARROZ,"CAIXA 200,00 G"
7,Menor Valor,Grupo 1,ARROZ,EMBALAGEM
7,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,1
7,Menor Valor,Grupo 6,ARROZ,"PACOTE 5,00 KG"
7,Não Informado,Não se Aplica,ARROZ,X
6,Menor Valor,Grupo 2,ARROZ,PACOTE
6,Menor Valor,Grupo 2,FARINHA ARROZ,"LATA 400,00 G"
6,Menor Valor,Grupo 10,ARROZ,"PACOTE 5,00 KG"
6,Menor Valor,NULL,ARROZ BENEFICIADO,EMB
6,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTE COM 5 KG
6,Menor Valor,Grupo 8,FARINHA ARROZ,"EMBALAGEM 500,00 G"
6,Menor Valor,Grupo 9,ARROZ,"PACOTE 5,00 KG"
6,Menor Valor,Grupo 3,ARROZ,"SACO 1,00 KG"
6,Menor Valor,Grupo 12,ARROZ,"PACOTE 5,00 KG"
6,Menor Valor,Grupo 2,ARROZ,UNIDADE
6,Menor Valor,Grupo 2,CASCA ARROZ,QUILOGRAMA
6,Menor Valor,Não tem Grupo,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,UNIDADE
6,Não Informado,Não se Aplica,ARROZ,FR
6,Menor Valor,NULL,ARROZ IN - NATURA,PACOTE 05 KG
6,Menor Valor,Grupo 5,FARINHA ARROZ,"EMBALAGEM 500,00 G"
6,Não Informado,Não se Aplica,ARROZ,PACOTE COM 5 QUILOGR
6,Menor Valor,Não tem Grupo,ARROZ,EMBALAGEM 1KG
6,Não Informado,Não se Aplica,CASCA ARROZ,SC
6,Não Informado,Não se Aplica,CREME ARROZ,"EMBALAGEM 400,00 G"
6,Menor Valor,Não tem Grupo,ARROZ,EMBALAGEM 5KG
6,Menor Valor,Grupo 6,ARROZ,KG
6,Menor Valor,Não se Aplica,ARROZ IN - NATURA,QUILOGRAMA
6,Menor Valor,Grupo 3,ARROZ,"PACOTE 5,00 KG"
6,Menor Valor,Grupo 2,ARROZ BENEFICIADO,"EMBALAGEM 2,00 KG"
6,Menor Valor,Grupo 13,ARROZ IN - NATURA,UNIDADE
6,Menor Valor,NULL,ARROZ,"SACO 1,00 KG"
6,Maior Desconto,Não tem Grupo,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
6,Menor Valor,Não tem Grupo,ARROZ,SACO 1KG
6,Não Informado,Não se Aplica,ARROZ IN - NATURA,FR
6,Não Informado,Não se Aplica,ARROZ,FARDO 30X01.
6,Não Informado,Não se Aplica,ARROZ,FARDO C/30
6,Não Informado,Não se Aplica,ARROZ,FRD.
6,Menor Valor,Grupo 1,ARROZ BENEFICIADO,EMB
6,Menor Valor,Grupo 1,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,UNIDADE
6,Menor Valor,Grupo 1,FARINHA ARROZ,UNIDADE
6,Menor Valor,Grupo 2,FARINHA ARROZ,QUILOGRAMA
6,Menor Valor,Grupo 2,CASCA ARROZ,UNIDADE
6,Menor Valor,Grupo 13,ARROZ,"PACOTE 5,00 KG"
6,Menor Valor,Grupo 13,ARROZ,QUILOGRAMA
6,Não Informado,Não se Aplica,ARROZ BENEFICIADO,"EMBALAGEM 2,00 KG"
6,Não Informado,Não tem Grupo,ARROZ IN - NATURA,QUILO
6,Não Informado,Não se Aplica,ARROZ,PT
6,Menor Valor,Não tem Grupo,CASCA ARROZ,SACO
6,Não Informado,Não se Aplica,ARROZ IN - NATURA,"PACOTE 5,00 KG"
6,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,KG.
6,Menor Valor,Grupo 1,CASCA ARROZ,QUILOGRAMA
6,Menor Valor,Grupo 16,ARROZ,"SACO 1,00 KG"
6,Menor Valor,Grupo 1,FARINHA ARROZ,"EMBALAGEM 1,00 KG"
6,Menor Valor,Grupo 7,ARROZ,"PACOTE 1,00 KG"
6,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTES
6,Não Informado,Não se Aplica,ARROZ,PCT.
5,Menor Valor,Grupo 6,FARINHA ARROZ,QUILOGRAMA
5,Menor Valor,Grupo 3,FARINHA ARROZ,"EMBALAGEM 500,00 G"
5,Menor Valor,Grupo 4,ARROZ IN - NATURA,UNIDADE
5,Menor Valor,Não se Aplica,CREME ARROZ,"CAIXA 200,00 G"
5,Menor Valor,NULL,ARROZ,EMBALAGEM 500G
5,Maior Desconto,Não tem Grupo,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG"
5,Menor Valor,Grupo 14,ARROZ BENEFICIADO,QUILOGRAMA
5,Menor Valor,Não tem Grupo,ARROZ,FARDO COM 30 KG
5,Não Informado,Não se Aplica,ARROZ IN - NATURA,PC
5,Não Informado,Não se Aplica,ARROZ,CX
5,Não Informado,Não se Aplica,CASCA ARROZ,LTA
5,Menor Valor,Grupo 7,FARINHA ARROZ,UNIDADE
5,Não Informado,Não se Aplica,ARROZ BENEFICIADO,GRAMA
5,Não Informado,Não se Aplica,ARROZ,FDO 6X5KG
5,Menor Valor,Não tem Grupo,ARROZ,KILOGRAMA
5,Menor Valor,Não tem Grupo,ARROZ,PACOTE COM 1KG
5,Menor Valor,Grupo 12,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
5,Não Informado,Não tem Grupo,ARROZ,"FARDO 30,00 KG"
5,Menor Valor,Não tem Grupo,ARROZ,FARDOS
5,Menor Valor,Grupo 8,ARROZ IN - NATURA,UNIDADE
5,Menor Valor,Grupo 9,ARROZ IN - NATURA,QUILOGRAMA
5,Menor Valor,Grupo 2,ARROZ BENEFICIADO,EMB
5,Menor Valor,Grupo 10,ARROZ BENEFICIADO,QUILOGRAMA
5,Menor Valor,NULL,ARROZ IN - NATURA,PCT COM 5 KG
5,Não Informado,Não se Aplica,CASCA ARROZ,SACOS
5,Não Informado,Não se Aplica,ARROZ,LT
5,Menor Valor,Grupo 8,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG"
5,Menor Valor,Não se Aplica,ARROZ,KG
5,Menor Valor,Grupo 4,ARROZ IN - NATURA,PACOTE
5,Menor Valor,Não tem Grupo,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),UN
5,Menor Valor,Não tem Grupo,CASCA ARROZ,M3
5,Menor Valor,Não tem Grupo,ARROZ,FD
5,Não Informado,Não se Aplica,CASCA ARROZ,UNID
5,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,SACA
5,Menor Valor,Grupo 1,ARROZ,FARDOS
5,Menor Valor,Grupo 3,CASCA ARROZ,UNIDADE
5,Menor Valor,Grupo 2,ARROZ BENEFICIADO,EMBALAGEM 1 KG
5,Menor Valor,Grupo 5,ARROZ IN - NATURA,QUILOGRAMA
4,Menor Valor,Grupo 8,ARROZ,"PACOTE 1,00 KG"
4,Menor Valor,Não tem Grupo,FARINHA ARROZ,KG
4,Não Informado,Não se Aplica,ARROZ,UM
4,Não Informado,Não se Aplica,CASCA ARROZ,M3
4,Não Informado,Não se Aplica,ARROZ,PACOTE COM 5 KG
4,Menor Valor,Não tem Grupo,ARROZ,PCT C/ 5KG
4,Menor Valor,Grupo 6,ARROZ IN - NATURA,KG
4,Menor Valor,Grupo 16,ARROZ,"PACOTE 1,00 KG"
4,Menor Valor,Grupo 8,ARROZ,"PACOTE 5,00 KG"
4,Menor Valor,Grupo 4,ARROZ,"SACO 1,00 KG"
4,Menor Valor,Grupo 7,ARROZ,"PACOTE 5,00 KG"
4,Menor Valor,Grupo 6,ARROZ,450G
4,Menor Valor,Grupo 6,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG"
4,Menor Valor,NULL,ARROZ IN - NATURA,"PACOTE 5,00 KG"
4,Menor Valor,Grupo 15,ARROZ BENEFICIADO,QUILOGRAMA
4,Menor Valor,Grupo 1,CREME ARROZ,"EMBALAGEM 400,00 G"
4,Menor Valor,Grupo 12,ARROZ IN - NATURA,QUILOGRAMA
4,Menor Valor,Grupo 4,ARROZ IN - NATURA,KG
4,Menor Valor,Grupo 6,ARROZ IN - NATURA,QUILOGRAMA
4,Menor Valor,Grupo 7,ARROZ IN - NATURA,KG
4,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,FD
4,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCTE
4,Não Informado,Não se Aplica,ARROZ,UNID
4,Não Informado,Não tem Grupo,FARINHA ARROZ,"LATA 400,00 G"
4,Não Informado,Não se Aplica,CASCA ARROZ,TONELADA
4,Não Informado,Não tem Grupo,ARROZ,SACO
4,Menor Valor,Grupo 13,ARROZ IN - NATURA,QUILO
4,Menor Valor,Grupo 10,ARROZ IN - NATURA,KG
4,Menor Valor,Grupo 18,FARINHA ARROZ,UNIDADE
